       coarse                      fine        
156 0.901,0.367,0.800        156 0.995,0.978,0.931
157 0.901,0.367,0.800        157 0.995,0.978,0.930
158 0.901,0.368,0.800        158 0.995,0.978,0.930
159 0.901,0.369,0.800        159 0.995,0.978,0.930
160 0.901,0.368,0.800        160 0.995,0.978,0.930
161 0.901,0.370,0.800        161 0.995,0.978,0.931
162 0.903,0.370,0.800        162 0.995,0.978,0.930
163 0.903,0.372,0.796        163 0.995,0.978,0.928
164 0.905,0.372,0.796        164 0.995,0.978,0.928
165 0.905,0.374,0.797        165 0.995,0.978,0.929
166 0.905,0.374,0.796        166 0.995,0.978,0.929
167 0.905,0.373,0.796        167 0.995,0.978,0.930
168 0.905,0.375,0.798        168 0.995,0.978,0.930
169 0.905,0.378,0.797        169 0.995,0.978,0.930
170 0.905,0.378,0.798        170 0.995,0.978,0.927
171 0.905,0.378,0.798        171 0.995,0.978,0.928
172 0.905,0.381,0.798        172 0.995,0.978,0.927
173 0.905,0.387,0.799        173 0.995,0.978,0.927
174 0.905,0.387,0.798        174 0.995,0.978,0.926
175 0.905,0.388,0.798        175 0.995,0.978,0.926
176 0.905,0.391,0.799        176 0.995,0.978,0.927
177 0.905,0.392,0.799        177 0.995,0.978,0.928
178 0.905,0.393,0.798        178 0.995,0.978,0.928
179 0.905,0.392,0.798        179 0.995,0.978,0.928
180 0.905,0.397,0.798        180 0.995,0.978,0.928
